,Unnamed: 0,name,latitude,longitude,rating,user_rating_count,reviews,photo_count,area,facilities,Town,description
11,11,Tin Shui Wai Swimming Pool,22.4556113,114.0069344,4.0,294,"It was fun but they ask you to wear white clothes which is kind of revealing your body or they ask you to wear swim suit but if it’s your first,second,third time they’ll let you go with your formal clothes. Everyone should go there it’s fun!🤩; At around 11:15 am on Jan 10, 2024, I strived to find my way here from the Tin Shui Wai Station wanting to swim before the morning session closing at noon. Arrived, I discovered that it was closed and the one that was open during winter time was the Ping Shan Tin Shui Wai Swimming Pool. When I arrived at noon, I realised it was just next to the Station.; It's mostly for kids or families.
Main pool for training is closed in the afternoon, so you are stuck to train in a 0.8m deep pool",3,Not available via Google Places API,No facility details,Tin Shui Wai,"Tin Shui Wai Swimming Pool offers a fun, family-friendly environment with a main pool and a shallow 0.8m pool for kids, though the main pool may close in the afternoon. Visitors enjoy its affordability and cleanliness but note occasional dress code restrictions and its closure during winter, with Ping Shan’s pool as an alternative."
12,12,Tin Sau Road Swimming Pool,22.4669075,114.0022181,3.3,47,"Newly built with modern design, the pool has 50m main pool with indoor training pool. The deck area is quite big but not enough sunbath area. The changing room is quite small in terms of corridor width, making it quite hard to get stuff if someone is occupying. The shower cubic however is quite clean and neat with the modern design; I like how the toilets are big and how there is a jacuzzi along with 3 big swimming pool. The biggest one is 1.90m deep; Admittance is cheap, 18 HKD regular fee. The locker / shower / changing area is very spacious compared to other nearby swimming pools.

When I was there - 2024-11-08, about 11 AM - attendance was 94 according to the display at the entrance. All the lanes were quite busy, with about 3 swimmers per lane on average. I swim quite a bit faster than the average Tin Shui Wai swimmer, but quite slow for European standards (about 35-60 seconds per 25m), and it was frustrating that I constantly had to switch lanes to avoid other swimmers or to overtake slow swimmers.

However, the nearby Ping Shan pool is much worse, with about 5-8 people per lane, half of them children in classes who keep splashing water wildly with their footstroke practice. So by comparison, it's not so busy here.

What's a bit astounding is that despite this swimming pool having been built recently, it's closed half the time (due to a shortage of lifeguards or something) and despite the day temperatures being around 30C, the outdoor pools are closed.

For how many people live nearby and how much demand there clearly is, they should have used more area for swimming than for empty space. The path from the changing area to the pool is quite long, and for some reason they make the air temperature quite low, and the water was actually a bit cooler than at Ping Shan. For active swimming, it would be nice, if only the average swimming pace was high enough that you could swim strongly enough to get warm.

Getting out of the water feels difficult because the air is so cold and the AC fans blow very strongly. I don't get the point. The whirlpool is a bit warmer, but not warm enough to leave you with some residual heat when you get out.

At least the showers have hot water so you can get warm there again.

In total, not bad, it's clean and spacious, but the layout could be more efficient and the temperature choice is a bit questionable.",3,Not available via Google Places API,No facility details,Tin Shui Wai,"Tin Sau Road Swimming Pool in Tin Shui Wai is a modern facility with a 50m main pool, an indoor training pool, and a jacuzzi. Spacious but with a small changing room corridor, it’s clean and affordable at 18 HKD. Users note busy lanes, cold air conditioning, and limited sunbathing space, but appreciate the hot showers."
13,13,Tin Sau Road Park Basketball Courts,22.4658931,114.0018443,4.0,16,"Decent court with 8 rims and plenty of room to play. The court is pretty slippery though due to the lack of maintenance so I would not recommend going for too many fancy moves involving change of pace or direction.; How good is this place? You can live in nearby Tianxiu Village. People who live near Tianxiu Road can play basketball here. And you can play basketball in some schools nearby. How good is it? Well, for example, there are participating schools nearby that can facilitate them to play and practice basketball, such as: Sheng Kung Hui Tin Shui Wai Ling Oi Primary School, Yuen Long Public Secondary School Alumni Association Ying Yip Primary School, and many other primary schools. Yes, you can practice basketball or volleyball here. How much better is it to play football? If football is played in an isolated football field, it would be much better to play it. So I like this basketball court. , After all, I like the basketball court because it’s so big. You can’t even guess how big it is. It’s about five o’clock. It’s a huge basketball court. The basketball court is a giant!; It will be much better if you have friends to fight with you🏀",3,Not available via Google Places API,No facility details,Tin Shui Wai,"Tin Sau Road Park Basketball Courts in Tin Shui Wai offer eight rims and ample space, ideal for community play near schools and estates like Tianxiu Village. Popular with locals, the courts are large but can be slippery due to maintenance issues, requiring caution during dynamic play."
14,14,Tin Shui Wai Sports Ground Car Park,22.453928,114.003798,3.5,26,"Zero distance from sports ground and the park, easy drive in, not large but sufficient space and not crowded.; Not a lot of spaces available.; Car Park",3,Not available via Google Places API,No facility details,Tin Shui Wai,"Tin Shui Wai Sports Ground Car Park is conveniently located next to the sports ground and park, offering sufficient parking space. It’s valued for its proximity and ease of access, though the number of spaces is limited, making it less ideal during peak times."
15,15,Tin Sau Road Park Volleyball Courts,22.4658852,114.0014781,4.3,3,"In my opinion, this is the best place to go to the volleyball court. You can easily call people nearby. After eating, you can stay here at Tin Yue Village, Tin Ching Village, Tin Fu Court, Tin Yat Estate, Jun Wang Heuan, Hui Jing Xuan, etc. There are many places where you can stay here. People in the village are here to play volleyball due to housing estate relocation. It is very convenient. There are also rugby and basketball courts nearby, as well as a football field and a seven-a-side football field. They can practice here in the east. Yes, I like it very much. The facilities nearby are very good. The facilities on Tiantianxiu Road Park are very good. The facilities for children are very good. I like them very much. The money is very good. The facilities are very good. So I like them very much. Good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good. So I realized that he and this beautiful volleyball court are so good for him!; ; ",0,Not available via Google Places API,No facility details,Tin Shui Wai,"Tin Sau Road Park Volleyball Courts in Tin Shui Wai are a popular community hub near estates like Tin Yue Village, offering well-maintained facilities alongside nearby rugby and basketball courts. Locals praise their convenience and quality, making them a favored spot for volleyball enthusiasts."
16,16,Tin Shui Wai Park Basketball Courts,22.4562115,114.0045547,4.4,13,High school memories.; The basketball court in Tin Shui Wai Park🏀 is well-equipped and many people come here to play.; very good golf course,3,Not available via Google Places API,No facility details,Tin Shui Wai,"Tin Shui Wai Park Basketball Courts are well-equipped and popular for community play, evoking high school memories for some. Located in Tin Shui Wai Park, they’re busy and appreciated for their quality, with users mistakenly noting a golf course, likely referring to the general sports facilities."
17,17,"Basketball Courts, Tin Fai Road Sports Centre",22.464796,113.997024,4.2,6,There is a jogging track on the second floor; The only outstanding thing about Hong Kong; ,2,Not available via Google Places API,No facility details,Tin Shui Wai,"The Basketball Courts at Tin Fai Road Sports Centre in Tin Shui Wai feature a jogging track on the second floor, adding to its appeal. Described as a standout facility in Hong Kong, the courts are valued for their community role, though specific facility details are limited."
18,18,Ping Shan Tin Shui Wai Swimming Pool,22.447518,114.0048151,3.5,217,"On Jan 10, 2024, I meant to go swimming in the Tin Shui Wai District. Getting off at the Tin Shui Wai MTR station, I had Google Maps to guide me there, just to find that it was closed and I should go to the Ping Shan Tin Shui Wai Swimming Pool instead. Again, using Google Maps to find my way, I returned to a spot just next to the Station and the small Pool was hiding there!; This pool is very nearby the subway station of tin Shiu Wai. You can walk there and start to swim.; Just only one standard swimming pool",3,Not available via Google Places API,No facility details,Tin Shui Wai,"Ping Shan Tin Shui Wai Swimming Pool, located next to Tin Shui Wai MTR Station, offers a standard pool ideal for local swimmers. While clean and accessible, it’s smaller than other pools and can be crowded, with users appreciating its proximity but noting limited facilities."
19,19,"Basketball Courts, Tin Shui Wai Sports Centre",22.455012,114.006547,,0,,0,Not available via Google Places API,No facility details,Tin Shui Wai,"The Basketball Courts at Tin Shui Wai Sports Centre provide a community-focused space for basketball, though specific user feedback is limited. Part of the larger sports centre, they benefit from the facility’s air-conditioned, clean environment, ideal for local sports enthusiasts."
20,20,Tin Sau Road Park,22.4660319,114.00154150000002,4.0,704,"It is a good place for child to spend their unlimited energy, sometimes there also have some book fair are be organised; Well developed social recreational area, got basketball courts, football court, rugby court, volleyball court and shops around; A park next to an public estate with football court,volleyball court, basketball court.",3,Not available via Google Places API,No facility details,Tin Shui Wai,"Tin Sau Road Park in Tin Shui Wai is a well-developed recreational area with basketball, football, rugby, and volleyball courts, plus shops nearby. Popular for kids to burn energy and host book fairs, it’s a vibrant community hub praised for its diverse facilities."
21,21,Ping Shan Tin Shui Wai Public Library,22.4471799,114.0049201,4.5,399,"Well furnished library with a sleek and modern design. It never gets too crowded so it's always comfortable.

The terrace on the 6th floor has a great view, and reading there is as good as it can be in Hong Kong

Outstanding piece of architecture; With 3 outdoor reading areas, including a roof garden blessed with one of the most relaxing views, this well stocked library of 6 storeys is easily the best library available in our entire city.
With such a spacious design,you can usually find a seat ,even during their busiest hours.

UPDATE: If you want to charge your laptop, you may want to move to the self study room (entrance of that on the 1st floor, outside the library) where all the seats facing the stadium come with one power socket. However, the library itself only gives you one or two seats with power each floor.

During warmer days(20 degrees or above), their air conditioning can be rather strong and you may want to stay on the third floor. **The warmest indoor area is the one where you can see the rural view,next to the coffee corner (3rd floor) .**; Honestly best library in hk the damn seats can fit my big butt and it doesn’t hurt my back also clean asf but please add chargers in the study room to all seats besides that BEST LIBRARH EVERYBRHWHHSHSB",3,Not available via Google Places API,No facility details,Tin Shui Wai,"Ping Shan Tin Shui Wai Public Library is a modern, spacious library next to Tin Shui Wai MTR Station, featuring three outdoor reading areas, a roof garden with scenic views, and a student study room. Praised for its sleek design and comfort, it’s considered one of Hong Kong’s best libraries, though power sockets are limited."
22,22,Tin Shui Wai North Public Library,22.468454,113.998848,3.3,52,"Quiet and spacious, mostly with kids and elderly around, you have to pre-book the computer if you need to use it, printing service available at cheap rate but still need to pre-book the PC for using the printing services.; It's a very small library but enough for basic; bad",3,Not available via Google Places API,No facility details,Tin Shui Wai,"Tin Shui Wai North Public Library is a quiet, compact library suitable for kids and the elderly, offering computer and printing services with pre-booking. While appreciated for its calm atmosphere, some find it too small and basic compared to larger libraries."
23,23,"Mobile Library 11, Tin Wah Estate",22.4608286,113.9965768,5.0,1,,1,Not available via Google Places API,No facility details,Tin Shui Wai,"Mobile Library 11 at Tin Wah Estate in Tin Shui Wai provides convenient access to books for the local community. As a mobile service, it’s highly rated for its accessibility, though specific facilities and user experiences are limited, focusing on basic library services."
24,24,"Mobile Library 10, Tin Yuet Estate",22.4626501,113.9990998,,0,,2,Not available via Google Places API,No facility details,Tin Shui Wai,"Mobile Library 10 at Tin Yuet Estate in Tin Shui Wai offers a mobile book-lending service for residents. While specific feedback is scarce, it’s valued for bringing library access directly to the community, enhancing convenience in Tin Shui Wai."
25,25,Ping Shan Tin Shui Wai Leisure and Cultural Building,22.447361,114.0048501,4.2,70,"Love this place so much
Quiet the mind
Wake up the Subconscious Mind
Powerful self talk
Reframe the mind
Slow it down
And talk to myself with love

I take time off
To read for my mind
To do things that make me happy
To exercise
To eat healthy
To live healthy lifestyle

This is one of my favorite places
That holds the key to deep joy

Remember ~
You are the sky
Everything else
It's just the weather

Live deeply
xx; You can access the building on the ground floor via pedestrian pathway from Tin Shu Wai Light rail and west rail station. 2nd largest public library in the city and indoor swimming pool. Had no dining facility though.; Have to wait in the queue for long time before enter the pool around 3 - 4 pm.but Wednesday less crowded than other days",3,Not available via Google Places API,No facility details,Tin Shui Wai,"Ping Shan Tin Shui Wai Leisure and Cultural Building, near Tin Shui Wai Light Rail and West Rail Station, houses the city’s second-largest public library and an indoor swimming pool. Praised for its calming environment and modern facilities, it’s a favorite for reading and exercise, though pool queues can be long."
26,26,Global Social Services Intercultural Community Library,22.4469786,114.003459,4.0,1,,1,Not available via Google Places API,No facility details,Tin Shui Wai,"Global Social Services Intercultural Community Library in Tin Shui Wai is a small, community-focused library with limited feedback. It provides basic library services, contributing to the area’s cultural offerings, and is appreciated for its role in fostering community engagement."
27,27,The Commercial Press (Tin Shui Wai),22.4623178,113.9996463,3.8,334,"On Sunday, June 30, 2024, Zia, Brian, Kuya Yan Yan, Ate Kat and Tita Maricris will go to the The Commercial Press (Tin Shui Wai), This is our 1st time, To buy something.; Medium size bookshop inside a shopping mall. There is hardly any bookshop in Tin Shui Wai, this maybe the one and only. Large collection of travel books and children learning books (mainly in Chinese). For all other categories, collection is to its minimum. Only one small shelf containing English books/novels. Furthermore, within this shelf, one third are self-help books. Not very inspiring. I would suggest to go outside New Territories if possible. This bookshop is lacking variety and choices.; Good environment, quiet and cozy, good coffee",3,Not available via Google Places API,No facility details,Tin Shui Wai,"The Commercial Press in Tin Shui Wai, located in a shopping mall, is a medium-sized bookshop with a focus on travel and children’s learning books, primarily in Chinese. While cozy and quiet, it’s criticized for its limited variety, especially in English books, but serves as a rare local bookshop."
28,28,"Mobile Library 3, Kingswood Country Club",22.459166,114.00608,5.0,1,,0,Not available via Google Places API,No facility details,Tin Shui Wai,"Mobile Library 3 at Kingswood Country Club in Tin Shui Wai offers mobile library services to residents, earning high praise for its convenience. With minimal feedback, it’s valued for bringing books directly to the community, enhancing access to reading materials."
29,29,Hong Kong YWCA Tin Shui Wai Integrated Social Service Centre (Youth-First),22.4549167,113.9993691,5.0,10,"Happy happy happy; A relaxing place where you can play switch, board games, and script killing; Fun! !
The only good place in Tin Shui Wai",3,Not available via Google Places API,No facility details,Tin Shui Wai,"Hong Kong YWCA Tin Shui Wai Integrated Social Service Centre (Youth-First) is a relaxing youth hub offering activities like Nintendo Switch, board games, and script killing. Highly rated as a fun, engaging space, it’s considered a standout community spot in Tin Shui Wai."
30,30,Tin Shui Community Centre,22.455146000000003,113.999307,3.8,80,"Ok; Very Good; There is a large auditorium in the basement, where free singing and dancing performances are regularly provided for the elderly.",3,Not available via Google Places API,No facility details,Tin Shui Wai,"Tin Shui Community Centre in Tin Shui Wai features a large basement auditorium hosting free singing and dancing performances for the elderly. Described as very good by locals, it serves as a vital community hub for cultural and social activities."
31,31,Tin Chak Shopping Centre,22.4683451,113.9986694,3.5,1611,"On Sunday, June 30, 2024, Zia, Brian, Kuya Yan Yan, Ate Kat and Tita Maricris will go to the Tin Chak Shopping Centre, This is our 1st time, To go shopping and eat in the restaurants.; Nice tidy very simple variety of shops, goods, food basic to personalized ... Tin Chak has enough diversity to be a mall; Friendly locals. Sorta got lost and had to ask a umm curvy local girl for help, which made me sorta nervous.  Uhhh, found the 🔑 key copying shop in the market. Got a copy of my key for $7 hkd. Can't really beat that price.",3,Not available via Google Places API,"Local shopping mall featuring stores for clothing, housewares & groceries, plus casual restaurants.",Tin Shui Wai,"Tin Chak Shopping Centre in Tin Shui Wai is a tidy mall with a variety of shops for clothing, housewares, and groceries, plus casual restaurants. Locals appreciate its diversity, friendly atmosphere, and affordable services like key copying, making it a convenient community hub."
32,32,"Mobile Library 10, Tin Shui Estate",22.4551994,113.9989998,,0,,2,Not available via Google Places API,No facility details,Tin Shui Wai,"Mobile Library 10 at Tin Shui Estate in Tin Shui Wai provides essential book-lending services to residents. With limited feedback, it’s valued for its accessibility, bringing library resources directly to the estate for community convenience."
33,33,Maywood Court Swimming Pool,22.4612721,114.0054382,3.7,3,"Very clean the water and reasonable rate
good facilities; ; ",3,Not available via Google Places API,No facility details,Tin Shui Wai,"Maywood Court Swimming Pool in Tin Shui Wai is a clean, affordable facility with reasonable rates and good amenities. Highly rated for its well-maintained water and facilities, it’s a popular choice for local swimmers seeking a reliable pool."
34,34,Yuen Long Sports Centre,22.4411233,114.0238488,4.2,375,"Vaccination staff was friendly and just need 30 minutes ( including rest time 15 minutes ) ❤️❤️❤️❤️
Stay safe everyone; This place is our upgrading test in Shek kip mei;)Probably all friends of UNITED taekwondo academy were here every Sunday to perform training poomsae!We do exercise coz we know health is wealth...I love UTA TEAM HONGKONG !; Many kids play here and its bcz near the library so some kids go in library too",3,Not available via Google Places API,No facility details,Yuen Long,"Yuen Long Sports Centre is a community hub offering various sports facilities and classes, including taekwondo. Popular with kids and families due to its proximity to a library, it’s praised for friendly staff and quick vaccination services, making it a health-focused destination."
35,35,Long Ping Sports Centre,22.4502277,114.0234298,3.6,302,"Very small and hard to find.The entrance of the sports centre is quite hidden,which is located next to cafe de coral.The changing room is even more hidden--down an inconspicuous flight of stairs,into a hidden area.The main arena is not large.; We had our swabtest done in this place and the results is favorable thank God.; community based, good facilities...need booking in advance...",3,Not available via Google Places API,No facility details,Yuen Long,"Long Ping Sports Centre in Yuen Long is a small, community-based facility with a hidden entrance near Cafe de Coral. Offering good facilities for sports like badminton, it’s valued for its role in community health, including swab testing, though its size and visibility are limitations."
36,36,Yuen Long District Sports Association Jockey Club Complex,22.442135,114.021992,4.1,179,"The equipment of the gym on the top floor is dated n taped with scotch tape. Otherwise, it has everything n the staff are very nice and helpful. I also attend the yoga classes. Clean facilities and well maintained. Spacious. Reasonable price. Yoga instructor Maria Chan is very nice and dedicated.; There is a fitness gym here at 6th floor and also near the yuen long stadium. And yuen long public swimming pool There are a lot of facilities to use here they have classes for taekwondo and a lot of sports classes to offer; Amazing food at the cafe on the ground floor, cheap and yummy!",3,Not available via Google Places API,No facility details,Yuen Long,"Yuen Long District Sports Association Jockey Club Complex is a spacious, well-maintained facility with a gym, yoga classes, and taekwondo programs. Located near Yuen Long Stadium and a public swimming pool, it’s praised for its clean facilities and affordable, tasty cafe food, despite some dated gym equipment."
37,37,Yuen Long Public Library,22.4414481,114.0239537,4.2,322,"One of Hong Kong’s newer public libraries this one in Yuen Long is deceptively large (it shares the building with a sports centre). Quite spacious reading areas but collection is of average size.; The venue itself is nice and cool. The time that I visit wasn't that much people coz it's quite late. The 2 stars are for the building itself ONLY. Since the staffs there weren't helpful at all. It made me with an unpleasant visit. At the entrance, staff there with the tone of voice made me feel offensive. The information / help desk on the ground floor, I was looking for a book and would like to ask the staff for help. She just asked me to search online, on the public library website. -_-"" Frankly, there wasn't any queue and she's not within something else, she just sat there doing nothing. If she's busy with something else and my question was too naive that it's not worth answering. Ok, that's fine, I will sort it out myself. All I can say is....  maybe she would like to enjoy her own time rather than helping a citizen's enquiry.; Lovely building with smart outlooking. But  not closed to the tram station... Acceptable walking distance. With good facilities for children aged.",3,Not available via Google Places API,No facility details,Yuen Long,"Yuen Long Public Library, sharing a building with a sports centre, offers spacious reading areas and a decent book collection. While the modern, cool environment is appreciated, some visitors find the staff unhelpful and the location a bit far from the tram station."
38,38,Yuen Long Swimming Pool,22.44167,114.0213437,3.8,481,"In general a good and clean facility but at the moment only one 50m pool is open. The other pools are under maintenance. So it is a little too crowded and people have to share the lanes.

EDIT:
I found another 25m pool on the opposite side of the facility. It is not so deep, but less crowded.

Main pool is under maintenance till early June.

EDIT:
Main Pool is open again. :) Less crowded now.; nearby Yuen Long Park
facilities are well maintained e.g. changing and shower
locker size is big enough
standard 50m and a training pool; Quite some distance from nearest railway station. The changing room is clean and large, but pool staff seems quite bureaucratic.",3,Not available via Google Places API,No facility details,Yuen Long,"Yuen Long Swimming Pool features a 50m main pool and a training pool, with well-maintained changing rooms and lockers. While generally clean, it can be crowded, with ongoing maintenance occasionally limiting access. Its distance from the railway station is a minor inconvenience."
39,39,Po Wing Road Sports Centre,22.4971579,114.1284529,4.2,782,Good selection of sports facilities available for hire. All are available for hire at regular or discount rates by HK citizens. One standout aspect is their provision of American pool tables which are a rarity among Hong Kong. Definitely recommend for people in the area to visit and join in on the physical activities; good place for resting n playing for children....make them exploring mindl n train their skill.....just for play n climb or maybe rolling; Well maintained and clean sport centre. I played table tennis over there and the courts are pretty good. Each court is on its own area separated by tall nets!,3,Not available via Google Places API,No facility details,Sheung Shui,"Po Wing Road Sports Centre in Sheung Shui offers a variety of sports facilities, including rare American pool tables, ideal for community activities. Well-maintained and clean, it’s popular for table tennis and children’s play, encouraging exploration and skill development."
40,40,Lung Sum Avenue Sports Centre,22.5050106,114.1306305,3.9,499,Great place to play basketball there; Great for indoor activities like badminton basketball  volleyball  and table-tennis 🏓; Totally 3 treadmills......2 are out of order.....,3,Not available via Google Places API,No facility details,Sheung Shui,"Lung Sum Avenue Sports Centre in Sheung Shui is a great venue for indoor sports like basketball, badminton, volleyball, and table tennis. While clean and spacious, some equipment, like treadmills, may be out of order, slightly impacting the experience."
