OBJECTID,DATASET_EN,DATASET_TC,NameEN,AddressEN,NameTC,AddressTC,DistrictEN,DistrictTC,FacilityTypeEN,FacilityTypeTC,FacilityDetailsEN,FacilityDetailsTC,OpeningHoursEN,OpeningHoursTC,TelephoneEN,TelephoneTC,FaxNumberEN,FaxNumberTC,EmailAddressEN,EmailAddressTC,WebsiteEN,WebsiteTC,NORTHING,EASTING,LATITUDE,LONGITUDE,LASTUPDATE,GeometryEasting,GeometryNorthing,GeometryLongitude,GeometryLatitude
11,"Parks, Zoos and Gardens",公園及動植物公園,Hoi Wong Road Garden,"Hoi Wong Road, Tuen Mun (Next to Tuen Mun Swimming Pool)",海皇路花園,屯門海皇路(屯門泳池側),TUEN MUN,屯門,PARK,公園,"Pet Playing Equipment, Dog Excreta Collection Bin, Pet Latrine, Hand-washing Facility and Turf area for pet",寵物遊樂設施、狗糞收集箱、寵物廁所、洗手設備和草坪(寵物活動區),24 hours daily,每日24小時開放,2451 3110,2451 3110,N.A.,N.A.,N.A.,N.A.,http://www.lcsd.gov.hk/lsb/en/facilities.php?ftid=47&did=14,http://www.lcsd.gov.hk/lsb/b5/facilities.php?ftid=47&did=14,827384.7000000001,814989.2000000001,22.3855588,113.9702458,2024-09-10T12:19:46,814989.2000000002,827384.6999999993,113.9702458,22.3855588
12,"Parks, Zoos and Gardens",公園及動植物公園,Ngau Chi Wan Park,"71 Fung Shing Street, Ngau Chi Wan, Wong Tai Sin",牛池灣公園,黃大仙牛池灣豐盛街71號,WONG TAI SIN,黃大仙,"ARCHERY RANGES,BASKETBALL COURTS,DOG GARDENS/PET GARDENS,PARK","射箭場,籃球場,狗公園/寵物公園,公園",,,,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,821899.4,840072.2000000001,22.33615123,114.2138022,2024-08-30T14:43:11,840072.2000000002,821899.4000000004,114.2138022,22.33615123
13,"Parks, Zoos and Gardens",公園及動植物公園,Sun Pat Kan Sitting-out Area,"Wong Ma Kok Road, Stanley",新八間休憩處,赤柱?麻角道,SOUTHERN,南區,INCLUSIVE PARK FOR PETS,寵物共享公園,Dog excreta collection bin,狗糞收集箱,24 HOURS DAILY,每日24小時開放,2555 1268,2555 1268,,,,,,,808682.39895679,840033.77266881,22.21679304,114.2133982,2024-05-24T14:26:36,840033.7726999996,808682.3990000002,114.2133982,22.21679304
14,"Parks, Zoos and Gardens",公園及動植物公園,Hoi Fai Road Park,"Hoi Fai Road, Tai Kok Tsui, Kowloon",海輝道公園,九龍大角咀海輝道,YAU TSIM MONG,油尖旺,"JOGGING TRACKS/FITNESS TRAILS,PARK RAMP,RAIN SHELTERS,TAI CHI AREA,FITNESS CORNERS,VIEWING PLATFORM,INCLUSIVE CHILDREN’S PLAYGROUND WITH DIVERSIFIED EQUIPMENT","緩跑徑/健身徑,公園徑,避雨亭,太極園,健身園地,觀景平台,多元共融兒童遊樂設施","Jogging Tracks , Rain shelters, a park ramp, a viewing platform, a Tai Chi area, fitness corners, an inclusive children’s playground with diversified equipment, toilets, accessible toilets, babycare room, accessible toilet, braille directory map / floor plan",緩跑徑、避雨亭、公園徑、觀景平台、太極園、健身園地、多元共融兒童遊樂設施、洗手間、通用洗手間、育嬰室、暢通易達洗手間、觸覺點字及觸覺平面圖,0700-2300,0700-2300,2302 1762,2302 1762,2736 9555,2736 9555,ytmdo@lcsd.gov.hk,ytmdo@lcsd.gov.hk,https://www.lcsd.gov.hk/en/facilities/facilitieslist.html,https://www.lcsd.gov.hk/tc/facilities/facilitieslist.html,819784.44726433,834099.01035665,22.31705453,114.1558226,2024-04-12T09:27:34,834099.0104,819784.4473000001,114.1558226,22.31705453
15,"Parks, Zoos and Gardens",公園及動植物公園,Shung Ling Street Playground,"Shung Ling Street, San Po Kong, Wong Tai Sin",崇齡街遊樂場,黃大仙新蒲崗崇齡街,WONG TAI SIN,黃大仙,"CHILDREN’S PLAY AREA,FITNESS CORNER FOR THE ELDERLY","兒童遊樂場,長者健體園地","Children's play equipment, elderly fitness conrner, pebble walking trail, barrier free facilities: tactile guide path, braille directory map/floor plan",兒童遊樂設施、長者健體設施、卵石路步行徑、無障礙設施：觸覺引路帶、觸覺點字及平面圖,24 Hours,24 小時,2328 9300,2328 9300,2857 1916,2857 1916,,,,,821838.0952,838273.78586243,22.33560036,114.1963447,2023-04-25T14:30:02,838273.7858999996,821838.0952000003,114.1963447,22.33560036
16,"Parks, Zoos and Gardens",公園及動植物公園,Fung Cheung Road Garden,"Fung Cheung Road, Yuen Long",鳳翔路花園,元朗鳳翔路,YUEN LONG,元朗,"CHILDREN’S PLAY AREA,FITNESS CORNER FOR THE ELDERLY","兒童遊樂場,長者健體園地","Children's playground, Elderly Fitness Corner and Chess Tables",兒童遊樂場、長者健身園地和棋桌,24 hours,24小時,2475 3445,2475 3445,2470 7551,2470 7551,,,,,833893.05062575,821424.19843984,22.44439963,114.0326723,2023-04-25T14:29:53,821424.1984000001,833893.0505999997,114.0326723,22.44439963
17,"Parks, Zoos and Gardens",公園及動植物公園,King's Road Playground,"King's Road, North Point",英皇道遊樂場,北角英皇道,EASTERN,東區,"CHILDREN’S PLAY AREA,ROLLER SKATING RINKS","兒童遊樂場,滾軸溜冰場","Children playground, roller skating rink, Toilets and accessible toilets",兒童遊樂場 、滾軸溜冰場、 男、女洗手間及暢通易達洗手間,24 hours daily,每日24小時開放,2757 4517,2757 4517,,,,,,,817030.32558893,838987.39718118,22.29218233,114.2032636,2023-04-25T14:29:43,838987.3971999995,817030.3256000001,114.2032636,22.29218233
18,"Parks, Zoos and Gardens",公園及動植物公園,Hung Leng Children's Playground,"Hung Leng Village, Fanling, N.T.",孔嶺兒童遊樂場,新界粉嶺孔嶺村,FANLING,粉嶺,"CHILDREN’S PLAY AREA,FITNESS EQUIPMENT","兒童遊樂場,健體園灺","Children's Play Equipment, Fitness Equipment",兒童遊樂設施，健身設施,24 hours daily,全日開放,2679 2818,2679 2818,2671 5410,2671 5410,mppn2@lcsd.gov.hk,mppn2@lcsd.gov.hk,,,841681.86437514,835281.39563793,22.51479994,114.1672851,2023-04-25T14:29:29,835281.3956000004,841681.8643999994,114.1672851,22.51479994
19,"Parks, Zoos and Gardens",公園及動植物公園,Chai Wan Park,"Chai Wan Park, Tsui Wan Street, Chai Wan",柴灣公園,柴灣翠灣街柴灣公園,EASTERN,東區,"PARK, HARD-SURFACE PITCHES, BASKETBALL COURTS, TENNIS COURTS, JOGGING TRACKS/FITNESS TRAILS, MODEL BOAT POOLS","公園, 硬地球場, 籃球場, 網球場, 緩跑徑/健身徑, 模型船池",7-a-side soccer pitch,7人足球場,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,https://www.lcsd.gov.hk/en/parks/cwp/index.html,https://www.lcsd.gov.hk/tc/parks/cwp/index.html,814162.8,842618.3,22.26627749,114.2384869,2022-09-29T16:10:13,842618.2999999998,814162.8000000007,114.2384869,22.26627749
20,"Parks, Zoos and Gardens",公園及動植物公園,Po Tsui Park,"Yuk Nga Lane, Tseung Kwan O, N.T.",寶翠公園,新界將軍澳毓雅里,SAI KUNG,西貢,"PARK, GRASS PITCHES, HARD-SURFACE PITCHES, TENNIS COURTS, HANDBALL COURTS, HOCKEY GROUNDS, JOGGING TRACKS/FITNESS TRAILS","公園, 草地球場, 硬地球場, 網球場, 手球場, 曲棍球場, 緩跑徑/健身徑","11-a-side artificial turf soccer cum hockey pitch , 7-a-side soccer cum handball pitch, Tennis Practice Courts","11人人造草地足球場兼曲棍球場, 7人足球兼手球場, 網球練習場",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.lcsd.gov.hk/en/ls_park.php,http://www.lcsd.gov.hk/b5/ls_park.php,820668,844110,22.3250173,114.2529916,2022-09-15T09:24:07,844110,820668,114.2529916,22.3250173
21,"Parks, Zoos and Gardens",公園及動植物公園,Cheung Fai Road Promenade,"Cheung Fai Road, Tsing Yi, N.T.",長輝路海濱花園,青衣長輝路,KWAI TSING,葵青,INCLUSIVE PARK FOR PETS,寵物共享公園,Dog excreta collection bin,狗糞收集箱,24 hours daily,每日24小時開放,2481 5435,2481 5435,,,,,,,823420.58058643,829516.96880952,22.34987903,114.1113348,2022-04-19T16:23:36,829516.9687999999,823420.5806000009,114.1113348,22.34987903
22,"Parks, Zoos and Gardens",公園及動植物公園,Waterfall Bay Park,"Waterfall Bay Road, Wah Fu Estate",瀑布灣公園,華富?瀑布灣道,SOUTHERN,南區,INCLUSIVE PARK FOR PETS,寵物共享公園,"Toilet (with accessible toilet), dog excreta collection bin",洗手間(設有暢通易達洗手間)、狗糞收集箱,24 HOURS DAILY,每日24小時開放,2555 1268,2555 1268,,,,,,,812386.69141086,831960.63552845,22.2502441,114.1350878,2022-04-19T11:31:41,831960.6354999999,812386.6914000008,114.1350878,22.2502441
23,"Parks, Zoos and Gardens",公園及動植物公園,Ap Lei Chau Waterfront Promenade,"Ap Lei Chau Main Street, Ap Lei Chau, Hong Kong",鴨?洲海濱長廊,香港鴨?洲鴨?洲大街,SOUTHERN,南區,"DOG GARDENS/PET GARDENS,INCLUSIVE PARK FOR PETS,SITTING-OUT AREA","狗公園/寵物公園,寵物共享公園,休憩處","Toilet (with accessible toilet), dog excreta collection bin",洗手間(設有暢通易達洗手間)、狗糞收集箱,24 hours daily,每日24小時開放,2555 1268,2555 1268,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,811786.1,834058.3,22.2448246,114.1554384,2022-04-19T11:29:14,834058.2999999998,811786.0999999996,114.1554384,22.2448246
24,"Parks, Zoos and Gardens",公園及動植物公園,Ap Lei Chau Park,"Ap Lei Chau Main Street, Ap Lei Chau, Hong Kong",鴨?洲公園,香港鴨?洲鴨?洲大街,SOUTHERN,南區,"INCLUSIVE PARK FOR PETS,PLAY EQUIPMENT FOR ALL CHILDREN","寵物共享公園,共融遊樂設施","Toilets (with accessible toilets), dog excreta collection bin",洗手間(設有暢通易達洗手間)、狗糞收集箱,24 hours daily,每日24小時開放,2555 1268,2555 1268,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,811819,834309.5,22.24512201,114.1578752,2022-04-19T11:24:46,834309.5,811819,114.1578752,22.24512201
25,"Parks, Zoos and Gardens",公園及動植物公園,Wo Keng Shan Road Garden,"Wo Keng Shan Road, Sha Tau Kok Road, Fanling, N.T",禾徑山路花園,新界粉嶺沙頭角路禾徑山路,NORTH,北區,INCLUSIVE PARK FOR PETS,寵物共享公園,"Pavilion, Arbour, Park bench, Dog excreta collection bin",涼亭、陰棚、公園座椅、狗糞收集箱,24 HOURS DAILY,每日24小時開放,2679 2826,2679 2826,,,,,,,842517.29720774,836543.20376891,22.52234447,114.1795494,2022-04-19T11:20:18,836543.2038000003,842517.2971999999,114.1795494,22.52234447
26,"Parks, Zoos and Gardens",公園及動植物公園,Cafeteria Old Beach Sitting-out Area,"Cafeteria Old Beach, Tuen Mun",舊咖啡灣休憩處,屯門舊咖啡灣,TUEN MUN,屯門,INCLUSIVE PARK FOR PETS,寵物共享公園,Dog excreta collection bin,狗糞收集箱,24 HOURS DAILY,每日24小時開放,2451 3110,2451 3110,,,,,,,826251.96308084,816524.67141564,22.3753477,113.98517,2022-02-09T09:56:28,816524.6714000003,826251.9630999994,113.98517,22.3753477
27,"Parks, Zoos and Gardens",公園及動植物公園,Central and Western Distrcit Promenade - Western Wholesale Food Market Setcion,"8 Fung Mat Road, Sai Wan",中西區海濱長廊 – 西區副食品批發市場段,西環豐物道 8 號,CENTRAL AND WESTERN,中西區,INCLUSIVE PARK FOR PETS,寵物共享公園,"Toilets (with accessible toilets), Dog excreta collection bin",洗手間(設有暢通易達洗手間)、狗糞收集箱,24 hours daily<br/>(From 7am to 11pm at waterfront area along pier 5),每日24小時開放<br/> (五號碼頭臨海地段每日早上7時至晚上11時),2853 2575,2853 2575,,,,,,,816738.31225431,832058.49999999,22.2895423,114.1360258,2022-02-09T09:45:05,832058.5,816738.3123000003,114.1360258,22.2895423
28,"Parks, Zoos and Gardens",公園及動植物公園,Tai Po Kau Park,"Tai Po Road (Tai Po Kau), Tai Po Kau",大埔滘公園,大埔滘大埔公路大埔滘段,TAI PO,大埔,INCLUSIVE PARK FOR PETS,寵物共享公園,"Toilets facilities, Dog excreta collection bin",洗手間、狗糞收集箱,24 HOURS DAILY,每日24小時開放,3183 9049,3183 9049,,,,,,,832612.73040198,837521.35886525,22.43290165,114.1890493,2022-01-31T12:30:09,837521.3589000003,832612.7303999998,114.1890493,22.43290165
29,"Parks, Zoos and Gardens",公園及動植物公園,Tolo Harbour Garden,"Tolo Highway, Tai Po",吐露港花園,大埔吐露港公路,TAI PO,大埔,INCLUSIVE PARK FOR PETS,寵物共享公園,Dog excreta collection bin,狗糞收集箱,24 HOURS DAILY,每日24小時開放,3183 9049,3183 9049,,,,,,,833465.71111293,837142.02490422,22.4406047,114.185365,2022-01-31T12:29:37,837142.0248999996,833465.7111000009,114.185365,22.4406047
30,"Parks, Zoos and Gardens",公園及動植物公園,Yuen Chau Tsai Park,"Island House Lane, Tai Po",元洲仔公園,大埔元洲仔里,TAI PO,大埔,INCLUSIVE PARK FOR PETS,寵物共享公園,"Dog excreta collection bin, Toilets (with accessible toilets)",狗糞收集箱、洗手間(設有暢通易達洗手間),24 HOURS DAILY,每日24小時開放,3183 9049,3183 9049,,,,,,,834315.84293846,836310.30969835,22.448282,114.1772854,2022-01-31T12:29:18,836310.3097000001,834315.8429000005,114.1772854,22.448282
31,"Parks, Zoos and Gardens",公園及動植物公園,Tat Wan Road Sitting out Area,"Tat Wan Road, Tai Po",達運道休憩處,大埔達運道,TAI PO,大埔,INCLUSIVE PARK FOR PETS,寵物共享公園,Dog excreta collection bin,狗糞收集箱,24 HOURS DAILY,每日24小時開放,3183 9050,3183 9050,,,,,,,833267.1366,835001.37025815,22.43881124,114.16457,2022-01-31T12:28:45,835001.3702999996,833267.1366000008,114.16457,22.43881124
32,"Parks, Zoos and Gardens",公園及動植物公園,Peng Lei Road Sitting-out Area,"Peng Lei Road, Peng Chau",坪利路休憩處,坪洲坪利路,ISLANDS,離島,INCLUSIVE PARK FOR PETS,寵物共享公園,"Dog excreta collection bin, Toilets (with accessible toilets)","狗糞收集箱, 洗手間(設有暢通易達洗手間)",24 HOURS DAILY,每日24小時開放,2852 3220,2852 3220,,,,,,,816623.80600294,821728.00576906,22.28845208,114.0357808,2022-01-31T12:27:38,821728.0058000004,816623.8059999999,114.0357808,22.28845208
33,"Parks, Zoos and Gardens",公園及動植物公園,Don Bosco Road Garden,"Don Bosco Road, Cheung Chau",思高路花園,長洲思高路,ISLANDS,離島,INCLUSIVE PARK FOR PETS,寵物共享公園,Dog excreta collection bin,狗糞收集箱,24 HOURS DAILY,每日24小時開放,2852 3220,2852 3220,,,,,,,807174.38792234,821727.26161431,22.20311771,114.035859,2022-01-31T12:26:51,821727.2615999999,807174.3879000004,114.035859,22.20311771
34,"Parks, Zoos and Gardens",公園及動植物公園,King Fuk Street Sitting-out Area,"King Fuk Street, Wong Tai Sin",景福街休憩處,黃大仙，景福街,WONG TAI SIN,黃大仙,INCLUSIVE PARK FOR PETS,寵物共享公園,"Park bench, Dog excreta collection bin",公園座椅、狗糞收集箱,24 HOURS DAILY,每日24小時開放,2328 9262,2328 9262,,,,,,,821645.80833592,838262.1412,22.33386391,114.1962314,2022-01-31T12:26:31,838262.1412000004,821645.8082999997,114.1962314,22.33386391
35,"Parks, Zoos and Gardens",公園及動植物公園,Kwai Hei Street Sitting-out Area,"Kwai Fuk Road, Kwai Chung",葵喜街休憩處,葵涌葵福路,KWAI TSING,葵青,INCLUSIVE PARK FOR PETS,寵物共享公園,Dog excreta collection bin,狗糞收集箱,24 HOURS DAILY,每日24小時開放,2423 3408,2423 3408,,,,,,,824296.62059028,830819.08552964,22.35779478,114.1239729,2022-01-31T12:26:00,830819.0855,824296.6206,114.1239729,22.35779478
36,"Parks, Zoos and Gardens",公園及動植物公園,Shek Pui Street Garden,"Shek Pui Street, Kwai Chung",石貝街花園,葵涌石貝街,KWAI TSING,葵青,INCLUSIVE PARK FOR PETS,寵物共享公園,Dog excreta collection bin,狗糞收集箱,24 HOURS DAILY,每日24小時開放,2425 0691,2425 0691,,,,,,,825052.30979453,832124.73518038,22.3646227,114.136647,2022-01-31T12:25:37,832124.7352,825052.3098000009,114.136647,22.3646227
37,"Parks, Zoos and Gardens",公園及動植物公園,Jockey Club Kwai Shing Circuit Sitting-out Area,"Kwai Shing Circuit, Kwai Chung",賽馬會葵盛圍休憩處,葵涌葵盛圍,KWAI TSING,葵青,INCLUSIVE PARK FOR PETS,寵物共享公園,Dog excreta collection bin,狗糞收集箱,24 HOURS DAILY,每日24小時開放,2423 3408,2423 3408,,,,,,,824574.15269102,830831.47668852,22.36030108,114.1240923,2022-01-31T12:25:18,830831.4767000005,824574.1526999995,114.1240923,22.36030108
38,"Parks, Zoos and Gardens",公園及動植物公園,Kam Fung Street Sitting-out Area,"Kam Fung Street , Wong Tai Sin",金鳳街休憩處,黃大仙，金鳳街,WONG TAI SIN,黃大仙,INCLUSIVE PARK FOR PETS,寵物共享公園,"Arbour, Park bench, Dog excreta collection bin",陰棚、公園座椅、狗糞收集箱,24 HOURS DAILY,每日24小時開放,2328 9262,2328 9262,,,,,,,822865.21780278,838444.12697428,22.34487565,114.1979996,2022-01-31T12:24:52,838444.1270000003,822865.2178000007,114.1979996,22.34487565
39,"Parks, Zoos and Gardens",公園及動植物公園,Shing Mun River Promenade Garden No.3,"Tai Chung Kiu Road, City One, Sha Tin",城門河第三海濱花園,沙田第一城大涌橋路,SHA TIN,沙田,INCLUSIVE PARK FOR PETS,寵物共享公園,Dog excreta collection bin,狗糞收集箱,24 HOURS DAILY,每日24小時開放,2634 0119,2634 0119,,,,,,,828024.95341716,838557.22952757,22.3914707,114.199105,2022-01-31T12:20:28,838557.2295000004,828024.9534000009,114.199105,22.3914707
40,"Parks, Zoos and Gardens",公園及動植物公園,Shing Mun River Promenade Garden No.2,"Tai Chung Kiu Road, Sha Tin",城門河第二海濱花園,沙田大涌橋路,SHA TIN,沙田,INCLUSIVE PARK FOR PETS,寵物共享公園,Dog excreta collection bin,狗糞收集箱,24 HOURS DAILY,每日24小時開放,2634 0119,2634 0119,,,,,,,827765.43426857,838844.67992763,22.3891267,114.201896,2022-01-31T12:20:07,838844.6798999999,827765.4342999998,114.201896,22.3891267
41,"Parks, Zoos and Gardens",公園及動植物公園,Shing Mun River Promenade Garden No.1,"Che Kung Miu Road, Sha Tin",城門河第一海濱花園,沙田車公廟路,SHA TIN,沙田,INCLUSIVE PARK FOR PETS,寵物共享公園,Dog excreta collection bin,狗糞收集箱,24 HOURS DAILY,每日24小時開放,2634 0147,2634 0147,,,,,,,826420.50505722,837607.92624462,22.3769827,114.189885,2022-01-31T12:19:41,837607.9261999996,826420.5051000006,114.189885,22.3769827
42,"Parks, Zoos and Gardens",公園及動植物公園,Ma On Shan Sai Sha Road Garden,"Sai Sha Road, Ma On Shan",馬鞍山西沙路花園,馬鞍山西沙路,SHA TIN,沙田,INCLUSIVE PARK FOR PETS,寵物共享公園,Dog excreta collection bin,狗糞收集箱,24 HOURS DAILY,每日24小時開放,2634 0143,2634 0143,,,,,,,831678.61337624,841463.84998219,22.4244587,114.227343,2022-01-31T12:19:21,841463.8499999996,831678.6133999992,114.227343,22.4244587
